dir,wav,model,mode,prompt_id,utmos,wer,sim
linux-cloning,coqui_cuda_p2.wav,coqui,cloning,2,3.9213,0.0000,0.4752
linux-cloning,coqui_cuda_p3.wav,coqui,cloning,3,4.3538,0.2121,0.5080
linux-cloning,coqui_cuda_p4.wav,coqui,cloning,4,3.8110,0.2222,0.4805
linux-cloning,coqui_cuda_p5.wav,coqui,cloning,5,3.4004,0.0000,0.2980
linux-cloning,dia_cuda_p1.wav,dia,cloning,1,2.6837,0.8571,0.1729
linux-cloning,dia_cuda_p2.wav,dia,cloning,2,3.6916,0.0526,0.3445
linux-cloning,dia_cuda_p3.wav,dia,cloning,3,3.4015,1.0000,0.1904
linux-cloning,dia_cuda_p4.wav,dia,cloning,4,3.3601,0.0000,0.1460
linux-cloning,dots_tts_cuda_p1.wav,dots_tts,cloning,1,3.9092,0.0000,0.6960
linux-cloning,dots_tts_cuda_p2.wav,dots_tts,cloning,2,3.8916,0.0000,0.8482
linux-cloning,dots_tts_cuda_p3.wav,dots_tts,cloning,3,4.3813,0.0606,0.8825
linux-cloning,dots_tts_cuda_p4.wav,dots_tts,cloning,4,3.7343,0.2778,0.8647
linux-cloning,dots_tts_cuda_p5.wav,dots_tts,cloning,5,3.0132,0.8667,0.2976
linux-cloning,dramabox_cuda_p1.wav,dramabox,cloning,1,3.6676,0.0000,0.7449
linux-cloning,dramabox_cuda_p2.wav,dramabox,cloning,2,4.0522,0.0000,0.8030
linux-cloning,dramabox_cuda_p3.wav,dramabox,cloning,3,3.9189,0.1212,0.7530
linux-cloning,dramabox_cuda_p4.wav,dramabox,cloning,4,3.9560,0.1667,0.8120
linux-cloning,echo_cuda_p1.wav,echo,cloning,1,4.0375,0.0000,0.7537
linux-cloning,echo_cuda_p2.wav,echo,cloning,2,4.3128,0.0000,0.8587
linux-cloning,echo_cuda_p3.wav,echo,cloning,3,4.3427,0.2424,0.8907
linux-cloning,echo_cuda_p4.wav,echo,cloning,4,4.1547,0.0556,0.8499
linux-cloning,f5tts_cpu_p1.wav,f5tts,cloning,1,3.9177,0.0000,0.6211
linux-cloning,f5tts_cpu_p2.wav,f5tts,cloning,2,4.0953,0.1053,0.7885
linux-cloning,f5tts_cpu_p3.wav,f5tts,cloning,3,4.2770,0.2121,0.8085
linux-cloning,f5tts_cpu_p4.wav,f5tts,cloning,4,4.1267,0.1667,0.7853
linux-cloning,f5tts_cuda_p1.wav,f5tts,cloning,1,3.8637,0.1429,0.7309
linux-cloning,f5tts_cuda_p2.wav,f5tts,cloning,2,3.9886,0.1053,0.7914
linux-cloning,f5tts_cuda_p3.wav,f5tts,cloning,3,4.2175,0.3636,0.8410
linux-cloning,f5tts_cuda_p4.wav,f5tts,cloning,4,4.1966,0.2222,0.7674
linux-cloning,fish_15_cpu_p1.wav,fish_15,cloning,1,3.2521,0.0000,0.5590
linux-cloning,fish_15_cpu_p2.wav,fish_15,cloning,2,3.8486,0.0000,0.6698
linux-cloning,fish_15_cpu_p3.wav,fish_15,cloning,3,3.7142,0.3030,0.7090
linux-cloning,fish_15_cpu_p4.wav,fish_15,cloning,4,3.9759,0.1111,0.6768
linux-cloning,fish_15_cpu_p5.wav,fish_15,cloning,5,2.8662,0.0000,0.3136
linux-cloning,fish_15_cuda_p1.wav,fish_15,cloning,1,3.7850,0.0000,0.5460
linux-cloning,fish_15_cuda_p2.wav,fish_15,cloning,2,4.1559,0.0526,0.6330
linux-cloning,fish_15_cuda_p3.wav,fish_15,cloning,3,3.7933,0.2121,0.6976
linux-cloning,fish_15_cuda_p4.wav,fish_15,cloning,4,3.8789,0.1111,0.7053
linux-cloning,fish_15_cuda_p5.wav,fish_15,cloning,5,3.0034,0.0000,0.3639
linux-cloning,fish_s2_cuda_p1.wav,fish_s2,cloning,1,4.0231,0.0000,0.6188
linux-cloning,fish_s2_cuda_p2.wav,fish_s2,cloning,2,4.2589,0.0000,0.7521
linux-cloning,fish_s2_cuda_p3.wav,fish_s2,cloning,3,4.4133,0.1212,0.7498
linux-cloning,fish_s2_cuda_p4.wav,fish_s2,cloning,4,4.3830,0.1111,0.7779
linux-cloning,higgs_v3_cuda_p1.wav,higgs_v3,cloning,1,4.1187,0.0000,0.6793
linux-cloning,higgs_v3_cuda_p2.wav,higgs_v3,cloning,2,4.3086,0.0000,0.7518
linux-cloning,higgs_v3_cuda_p3.wav,higgs_v3,cloning,3,4.5011,0.1212,0.6364
linux-cloning,higgs_v3_cuda_p4.wav,higgs_v3,cloning,4,4.3187,0.1111,0.7973
linux-cloning,higgs_v3_cuda_p5.wav,higgs_v3,cloning,5,3.9759,0.0000,0.4661
linux-cloning,indextts_cpu_p1.wav,indextts,cloning,1,3.8286,0.1429,0.7357
linux-cloning,indextts_cpu_p2.wav,indextts,cloning,2,3.5387,0.0000,0.8591
linux-cloning,indextts_cpu_p3.wav,indextts,cloning,3,3.8305,0.1818,0.8360
linux-cloning,indextts_cpu_p4.wav,indextts,cloning,4,3.5525,0.1111,0.8055
linux-cloning,indextts_cuda_p1.wav,indextts,cloning,1,3.8162,0.0000,0.7540
linux-cloning,indextts_cuda_p2.wav,indextts,cloning,2,3.6892,0.0000,0.8464
linux-cloning,indextts_cuda_p3.wav,indextts,cloning,3,3.6087,0.1818,0.8624
linux-cloning,indextts_cuda_p4.wav,indextts,cloning,4,3.9816,0.1111,0.8403
linux-cloning,longcat_1b_cuda_p1.wav,longcat_1b,cloning,1,3.8182,0.0000,0.8270
linux-cloning,longcat_1b_cuda_p2.wav,longcat_1b,cloning,2,4.2998,0.0000,0.8910
linux-cloning,longcat_1b_cuda_p3.wav,longcat_1b,cloning,3,3.9375,0.3636,0.8923
linux-cloning,longcat_1b_cuda_p4.wav,longcat_1b,cloning,4,3.4744,0.2222,0.8706
linux-cloning,longcat_3p5b_cuda_p1.wav,longcat_3p5b,cloning,1,2.6487,0.4286,0.6306
linux-cloning,longcat_3p5b_cuda_p2.wav,longcat_3p5b,cloning,2,3.9151,0.0000,0.8978
linux-cloning,longcat_3p5b_cuda_p3.wav,longcat_3p5b,cloning,3,3.5204,0.3636,0.9116
linux-cloning,longcat_3p5b_cuda_p4.wav,longcat_3p5b,cloning,4,3.6575,0.2222,0.8988
linux-cloning,luxtts_cpu_p1.wav,luxtts,cloning,1,3.8652,0.0000,0.4755
linux-cloning,luxtts_cpu_p2.wav,luxtts,cloning,2,4.3694,0.0000,0.5130
linux-cloning,luxtts_cpu_p3.wav,luxtts,cloning,3,4.1418,0.1818,0.1416
linux-cloning,luxtts_cpu_p4.wav,luxtts,cloning,4,4.1344,0.1111,0.5795
linux-cloning,luxtts_cuda_p1.wav,luxtts,cloning,1,3.8606,0.0000,0.5363
linux-cloning,luxtts_cuda_p2.wav,luxtts,cloning,2,4.2629,0.0000,0.4850
linux-cloning,luxtts_cuda_p3.wav,luxtts,cloning,3,4.0217,0.1515,0.4038
linux-cloning,luxtts_cuda_p4.wav,luxtts,cloning,4,4.3343,0.1111,0.4144
linux-cloning,mars5_cpu_p1.wav,mars5,cloning,1,1.3978,1.0000,0.0980
linux-cloning,mars5_cpu_p2.wav,mars5,cloning,2,1.2882,0.5263,0.1544
linux-cloning,mars5_cpu_p3.wav,mars5,cloning,3,1.2543,0.9394,0.1566
linux-cloning,mars5_cpu_p4.wav,mars5,cloning,4,1.3147,1.0000,0.0849
linux-cloning,mars5_cuda_p1.wav,mars5,cloning,1,1.4172,1.0000,0.1157
linux-cloning,mars5_cuda_p2.wav,mars5,cloning,2,1.4094,0.4737,0.0810
linux-cloning,mars5_cuda_p3.wav,mars5,cloning,3,1.3037,0.8788,0.0548
linux-cloning,mars5_cuda_p4.wav,mars5,cloning,4,1.3978,0.7778,0.0800
linux-cloning,metavoice_cuda_p1.wav,metavoice,cloning,1,3.6144,0.2857,0.3758
linux-cloning,metavoice_cuda_p2.wav,metavoice,cloning,2,3.7250,0.3158,0.3468
linux-cloning,metavoice_cuda_p3.wav,metavoice,cloning,3,4.0111,0.6364,0.3776
linux-cloning,metavoice_cuda_p4.wav,metavoice,cloning,4,3.8317,0.1111,0.4272
linux-cloning,miratts_cuda_p1.wav,miratts,cloning,1,3.5780,0.0000,0.5151
linux-cloning,miratts_cuda_p2.wav,miratts,cloning,2,3.8460,0.0000,0.5768
linux-cloning,miratts_cuda_p3.wav,miratts,cloning,3,4.0782,0.1212,0.5129
linux-cloning,miratts_cuda_p4.wav,miratts,cloning,4,3.7098,0.2778,0.5370
linux-cloning,miso_cuda_p1.wav,miso,cloning,1,3.7857,0.0000,0.5201
linux-cloning,miso_cuda_p2.wav,miso,cloning,2,3.8366,0.0000,0.6701
linux-cloning,miso_cuda_p3.wav,miso,cloning,3,4.3273,0.4848,0.7367
linux-cloning,miso_cuda_p4.wav,miso,cloning,4,3.2492,0.3333,0.6902
linux-cloning,moss_tts_cuda_p1.wav,moss_tts,cloning,1,4.2907,0.1429,0.6739
linux-cloning,moss_tts_cuda_p2.wav,moss_tts,cloning,2,4.2682,0.0000,0.8466
linux-cloning,moss_tts_cuda_p3.wav,moss_tts,cloning,3,4.3719,0.1515,0.8711
linux-cloning,moss_tts_cuda_p4.wav,moss_tts,cloning,4,4.3823,0.0000,0.8588
linux-cloning,moss_tts_cuda_p5.wav,moss_tts,cloning,5,3.8060,0.0000,0.5824
linux-cloning,moss_tts_nano_cpu_p1.wav,moss_tts_nano,cloning,1,4.1675,0.0000,0.5986
linux-cloning,moss_tts_nano_cpu_p2.wav,moss_tts_nano,cloning,2,4.0859,0.0000,0.7234
linux-cloning,moss_tts_nano_cpu_p3.wav,moss_tts_nano,cloning,3,4.0273,0.2121,0.7530
linux-cloning,moss_tts_nano_cpu_p4.wav,moss_tts_nano,cloning,4,4.0099,0.1111,0.7738
linux-cloning,moss_tts_nano_cpu_p5.wav,moss_tts_nano,cloning,5,3.4634,0.2667,0.2585
linux-cloning,moss_tts_nano_cuda_p1.wav,moss_tts_nano,cloning,1,3.7552,0.0000,0.4518
linux-cloning,moss_tts_nano_cuda_p2.wav,moss_tts_nano,cloning,2,3.9261,0.0000,0.7170
linux-cloning,moss_tts_nano_cuda_p3.wav,moss_tts_nano,cloning,3,4.2451,0.1818,0.7712
linux-cloning,moss_tts_nano_cuda_p4.wav,moss_tts_nano,cloning,4,3.9024,0.1111,0.7069
linux-cloning,moss_tts_nano_cuda_p5.wav,moss_tts_nano,cloning,5,3.1117,0.0000,0.4095
linux-cloning,moss_tts_v15_cuda_p1.wav,moss_tts_v15,cloning,1,3.9609,0.0000,0.7788
linux-cloning,moss_tts_v15_cuda_p2.wav,moss_tts_v15,cloning,2,4.2355,0.0000,0.8011
linux-cloning,moss_tts_v15_cuda_p3.wav,moss_tts_v15,cloning,3,4.4714,0.1212,0.8450
linux-cloning,moss_tts_v15_cuda_p4.wav,moss_tts_v15,cloning,4,4.3359,0.1111,0.7892
linux-cloning,moss_tts_v15_cuda_p5.wav,moss_tts_v15,cloning,5,3.5884,0.0000,0.5165
linux-cloning,neutts_air_cpu_p1.wav,neutts_air,cloning,1,2.8339,0.8571,0.2412
linux-cloning,neutts_air_cpu_p2.wav,neutts_air,cloning,2,3.9149,0.5263,0.4209
linux-cloning,neutts_air_cpu_p3.wav,neutts_air,cloning,3,3.7374,0.3333,0.4280
linux-cloning,neutts_air_cpu_p4.wav,neutts_air,cloning,4,3.5064,0.2222,0.4208
linux-cloning,neutts_air_cuda_p1.wav,neutts_air,cloning,1,2.1147,1.0000,0.3699
linux-cloning,neutts_air_cuda_p2.wav,neutts_air,cloning,2,3.4994,0.0526,0.3336
linux-cloning,neutts_air_cuda_p3.wav,neutts_air,cloning,3,4.0449,0.3030,0.4644
linux-cloning,neutts_air_cuda_p4.wav,neutts_air,cloning,4,2.9191,0.8889,0.3895
linux-cloning,neutts_nano_cpu_p1.wav,neutts_nano,cloning,1,3.2297,0.8571,0.1382
linux-cloning,neutts_nano_cpu_p2.wav,neutts_nano,cloning,2,3.7043,0.0000,0.3306
linux-cloning,neutts_nano_cpu_p3.wav,neutts_nano,cloning,3,4.1291,0.3333,0.3575
linux-cloning,neutts_nano_cpu_p4.wav,neutts_nano,cloning,4,3.8970,0.2222,0.3146
linux-cloning,neutts_nano_cpu_p5.wav,neutts_nano,cloning,5,2.5364,1.0000,0.1273
linux-cloning,neutts_nano_cuda_p1.wav,neutts_nano,cloning,1,2.2169,0.7143,0.2026
linux-cloning,neutts_nano_cuda_p2.wav,neutts_nano,cloning,2,4.2810,0.6842,0.1844
linux-cloning,neutts_nano_cuda_p3.wav,neutts_nano,cloning,3,4.1675,0.3636,0.3536
linux-cloning,neutts_nano_cuda_p4.wav,neutts_nano,cloning,4,4.0544,0.3333,0.1921
linux-cloning,neutts_nano_cuda_p5.wav,neutts_nano,cloning,5,3.3889,0.3333,0.2044
linux-cloning,omnivoice_cpu_p1.wav,omnivoice,cloning,1,3.7985,0.1429,0.7838
linux-cloning,omnivoice_cpu_p2.wav,omnivoice,cloning,2,4.0548,0.0000,0.8870
linux-cloning,omnivoice_cpu_p3.wav,omnivoice,cloning,3,4.2376,0.2121,0.8724
linux-cloning,omnivoice_cpu_p4.wav,omnivoice,cloning,4,4.0881,0.1111,0.8947
linux-cloning,omnivoice_cpu_p5.wav,omnivoice,cloning,5,3.6185,0.0667,0.5261
linux-cloning,omnivoice_cuda_p1.wav,omnivoice,cloning,1,3.8942,0.0000,0.7340
linux-cloning,omnivoice_cuda_p2.wav,omnivoice,cloning,2,4.0956,0.0526,0.8648
linux-cloning,omnivoice_cuda_p3.wav,omnivoice,cloning,3,4.3627,0.1818,0.8667
linux-cloning,omnivoice_cuda_p4.wav,omnivoice,cloning,4,3.9348,0.1667,0.8889
linux-cloning,omnivoice_cuda_p5.wav,omnivoice,cloning,5,3.6637,0.0667,0.5878
linux-cloning,openvoice_cpu_p1.wav,openvoice,cloning,1,3.9536,0.1429,0.3429
linux-cloning,openvoice_cpu_p2.wav,openvoice,cloning,2,3.9384,0.0526,0.2345
linux-cloning,openvoice_cpu_p3.wav,openvoice,cloning,3,3.9067,0.2424,0.2825
linux-cloning,openvoice_cpu_p4.wav,openvoice,cloning,4,3.9388,0.0556,0.2833
linux-cloning,openvoice_cpu_p5.wav,openvoice,cloning,5,3.1089,0.0000,0.0654
linux-cloning,openvoice_cuda_p1.wav,openvoice,cloning,1,4.0138,0.1429,0.2124
linux-cloning,openvoice_cuda_p2.wav,openvoice,cloning,2,4.2193,0.0526,0.2272
linux-cloning,openvoice_cuda_p3.wav,openvoice,cloning,3,3.8921,0.2424,0.3233
linux-cloning,openvoice_cuda_p4.wav,openvoice,cloning,4,4.2092,0.2222,0.2539
linux-cloning,openvoice_cuda_p5.wav,openvoice,cloning,5,3.3950,0.0000,0.0999
linux-cloning,outetts_cuda_p1.wav,outetts,cloning,1,3.6968,0.0000,0.4850
linux-cloning,outetts_cuda_p2.wav,outetts,cloning,2,3.5506,0.1053,0.4797
linux-cloning,outetts_cuda_p3.wav,outetts,cloning,3,3.6634,0.2121,0.5414
linux-cloning,outetts_cuda_p4.wav,outetts,cloning,4,3.7539,0.2222,0.5474
linux-cloning,outetts_cuda_p5.wav,outetts,cloning,5,3.5021,0.7333,0.2678
linux-cloning,pocket_cpu_p1.wav,pocket,cloning,1,4.0433,0.0000,0.5339
linux-cloning,pocket_cpu_p2.wav,pocket,cloning,2,4.1820,0.0000,0.5383
linux-cloning,pocket_cpu_p3.wav,pocket,cloning,3,4.2809,0.2424,0.6284
linux-cloning,pocket_cpu_p4.wav,pocket,cloning,4,4.0976,0.1667,0.6497
linux-cloning,pocket_cpu_p5.wav,pocket,cloning,5,3.2070,0.0000,0.1972
linux-cloning,qwentts_fast_cuda_p1.wav,qwentts_fast,cloning,1,1.2473,31.5714,0.0617
linux-cloning,qwentts_fast_cuda_p2.wav,qwentts_fast,cloning,2,1.2489,7.7895,0.1013
linux-cloning,qwentts_fast_cuda_p3.wav,qwentts_fast,cloning,3,1.2258,0.9697,0.2243
linux-cloning,qwentts_fast_cuda_p4.wav,qwentts_fast,cloning,4,1.2434,8.2222,0.2217
linux-cloning,qwentts_fast_cuda_p5.wav,qwentts_fast,cloning,5,1.2450,9.8667,0.1261
linux-cloning,sesame_cpu_p1.wav,sesame,cloning,1,3.8597,0.0000,0.5823
linux-cloning,sesame_cpu_p2.wav,sesame,cloning,2,3.9415,0.0000,0.7911
linux-cloning,sesame_cpu_p3.wav,sesame,cloning,3,4.2105,0.5152,0.7296
linux-cloning,sesame_cpu_p4.wav,sesame,cloning,4,4.1562,0.1111,0.7854
linux-cloning,sesame_cuda_p1.wav,sesame,cloning,1,3.8007,0.0000,0.6604
linux-cloning,sesame_cuda_p2.wav,sesame,cloning,2,3.9783,0.0526,0.7396
linux-cloning,sesame_cuda_p3.wav,sesame,cloning,3,4.1498,0.4242,0.8226
linux-cloning,sesame_cuda_p4.wav,sesame,cloning,4,4.2237,0.1111,0.7991
linux-cloning,step_editx_cuda_p1.wav,step_editx,cloning,1,3.8731,0.1429,0.2973
linux-cloning,step_editx_cuda_p2.wav,step_editx,cloning,2,4.0762,0.0000,0.4709
linux-cloning,step_editx_cuda_p3.wav,step_editx,cloning,3,4.4541,0.1515,0.5660
linux-cloning,step_editx_cuda_p4.wav,step_editx,cloning,4,4.3640,0.1111,0.4953
linux-cloning,styletts2_cpu_p1.wav,styletts2,cloning,1,4.4200,0.0000,0.2599
linux-cloning,styletts2_cpu_p2.wav,styletts2,cloning,2,4.4532,0.0000,0.3268
linux-cloning,styletts2_cpu_p3.wav,styletts2,cloning,3,4.0840,0.1818,0.3279
linux-cloning,styletts2_cpu_p4.wav,styletts2,cloning,4,4.3668,0.2778,0.2784
linux-cloning,styletts2_cuda_p1.wav,styletts2,cloning,1,4.4200,0.0000,0.2599
linux-cloning,styletts2_cuda_p2.wav,styletts2,cloning,2,4.4532,0.0000,0.3268
linux-cloning,styletts2_cuda_p3.wav,styletts2,cloning,3,4.0840,0.1818,0.3279
linux-cloning,styletts2_cuda_p4.wav,styletts2,cloning,4,4.3668,0.2778,0.2784
linux-cloning,vibevoice_7b_cuda_p1.wav,vibevoice_7b,cloning,1,3.0367,0.0000,-0.0519
linux-cloning,vibevoice_7b_cuda_p2.wav,vibevoice_7b,cloning,2,4.0345,0.1053,0.7809
linux-cloning,vibevoice_7b_cuda_p3.wav,vibevoice_7b,cloning,3,4.0610,0.1212,0.8154
linux-cloning,vibevoice_7b_cuda_p4.wav,vibevoice_7b,cloning,4,4.1681,0.2778,0.7895
linux-cloning,voxcpm_cpu_p1.wav,voxcpm,cloning,1,4.0625,0.0000,0.5635
linux-cloning,voxcpm_cpu_p2.wav,voxcpm,cloning,2,3.8995,0.0000,0.6177
linux-cloning,voxcpm_cpu_p3.wav,voxcpm,cloning,3,4.2052,0.0606,0.6302
linux-cloning,voxcpm_cpu_p4.wav,voxcpm,cloning,4,3.7703,0.1667,0.5902
linux-cloning,voxcpm_cpu_p5.wav,voxcpm,cloning,5,2.4871,0.0000,0.4067
linux-cloning,voxcpm_cuda_p1.wav,voxcpm,cloning,1,4.1030,0.0000,0.6055
linux-cloning,voxcpm_cuda_p2.wav,voxcpm,cloning,2,4.2165,0.0000,0.6018
linux-cloning,voxcpm_cuda_p3.wav,voxcpm,cloning,3,4.3187,0.0909,0.7396
linux-cloning,voxcpm_cuda_p4.wav,voxcpm,cloning,4,4.0180,0.1667,0.6426
linux-cloning,voxcpm_cuda_p5.wav,voxcpm,cloning,5,3.0031,0.0000,0.3637
linux-cloning,zipvoice_cpu_p1.wav,zipvoice,cloning,1,4.0611,0.0000,0.5356
linux-cloning,zipvoice_cpu_p2.wav,zipvoice,cloning,2,3.8114,0.0000,0.5827
linux-cloning,zipvoice_cpu_p4.wav,zipvoice,cloning,4,4.3927,0.1111,0.3519
linux-cloning,zipvoice_cpu_p5.wav,zipvoice,cloning,5,3.7830,0.1333,0.3288
linux-cloning,zonos_cpu_p1.wav,zonos,cloning,1,4.2068,0.1429,0.6221
linux-cloning,zonos_cpu_p2.wav,zonos,cloning,2,4.0258,0.0000,0.6937
linux-cloning,zonos_cpu_p3.wav,zonos,cloning,3,3.8393,0.2121,0.7157
linux-cloning,zonos_cpu_p4.wav,zonos,cloning,4,4.1193,0.1111,0.7556
linux-cloning,zonos_cpu_p5.wav,zonos,cloning,5,3.1714,0.0667,0.4414
linux-cloning,zonos_cuda_p1.wav,zonos,cloning,1,3.8972,0.1429,0.6506
linux-cloning,zonos_cuda_p2.wav,zonos,cloning,2,4.2379,0.0526,0.7740
linux-cloning,zonos_cuda_p3.wav,zonos,cloning,3,4.0372,0.1515,0.7354
linux-cloning,zonos_cuda_p4.wav,zonos,cloning,4,4.0241,0.2222,0.7941
linux-cloning,zonos_cuda_p5.wav,zonos,cloning,5,2.8340,0.0000,0.4488
linux-default,chatterbox_cpu_p1.wav,chatterbox,default,1,4.4098,0.0000,
linux-default,chatterbox_cpu_p2.wav,chatterbox,default,2,4.4091,0.0000,
linux-default,chatterbox_cpu_p3.wav,chatterbox,default,3,4.4992,0.0909,
linux-default,chatterbox_cpu_p4.wav,chatterbox,default,4,4.4368,0.1111,
linux-default,chatterbox_cuda_p1.wav,chatterbox,default,1,4.3862,0.0000,
linux-default,chatterbox_cuda_p2.wav,chatterbox,default,2,4.4123,0.0000,
linux-default,chatterbox_cuda_p3.wav,chatterbox,default,3,4.4930,0.1212,
linux-default,chatterbox_cuda_p4.wav,chatterbox,default,4,4.4213,0.0000,
linux-default,chatterbox_turbo_cpu_p1.wav,chatterbox_turbo,default,1,4.0068,0.0000,
linux-default,chatterbox_turbo_cpu_p2.wav,chatterbox_turbo,default,2,4.4538,0.0000,
linux-default,chatterbox_turbo_cpu_p3.wav,chatterbox_turbo,default,3,4.1424,0.2424,
linux-default,chatterbox_turbo_cpu_p4.wav,chatterbox_turbo,default,4,4.4400,0.0556,
linux-default,chatterbox_turbo_cuda_p1.wav,chatterbox_turbo,default,1,4.4206,0.0000,
linux-default,chatterbox_turbo_cuda_p2.wav,chatterbox_turbo,default,2,4.2927,0.0000,
linux-default,chatterbox_turbo_cuda_p3.wav,chatterbox_turbo,default,3,4.3513,0.1818,
linux-default,chatterbox_turbo_cuda_p4.wav,chatterbox_turbo,default,4,4.4171,0.0556,
linux-default,coqui_cpu_p1.wav,coqui,default,1,3.8860,0.0000,
linux-default,coqui_cpu_p2.wav,coqui,default,2,4.4112,0.1579,
linux-default,coqui_cpu_p3.wav,coqui,default,3,4.2566,0.1818,
linux-default,coqui_cpu_p4.wav,coqui,default,4,4.1886,0.1111,
linux-default,coqui_cpu_p5.wav,coqui,default,5,3.2637,0.0000,
linux-default,coqui_cuda_p1.wav,coqui,default,1,3.7804,0.0000,
linux-default,coqui_cuda_p2.wav,coqui,default,2,4.3720,0.0000,
linux-default,coqui_cuda_p3.wav,coqui,default,3,4.2222,0.2727,
linux-default,coqui_cuda_p4.wav,coqui,default,4,4.0284,0.1667,
linux-default,coqui_cuda_p5.wav,coqui,default,5,3.4410,0.0000,
linux-default,dia_cuda_p1.wav,dia,default,1,2.2590,0.0000,
linux-default,dia_cuda_p2.wav,dia,default,2,2.5041,0.0526,
linux-default,dia_cuda_p3.wav,dia,default,3,3.8012,0.2424,
linux-default,dia_cuda_p4.wav,dia,default,4,3.5443,0.1111,
linux-default,dots_tts_cuda_p1.wav,dots_tts,default,1,4.2030,0.0000,
linux-default,dots_tts_cuda_p2.wav,dots_tts,default,2,3.0627,0.0000,
linux-default,dots_tts_cuda_p3.wav,dots_tts,default,3,3.8071,0.1818,
linux-default,dots_tts_cuda_p4.wav,dots_tts,default,4,3.5438,0.1111,
linux-default,dots_tts_cuda_p5.wav,dots_tts,default,5,1.5168,0.0000,
linux-default,dramabox_cuda_p1.wav,dramabox,default,1,4.1697,0.0000,
linux-default,dramabox_cuda_p2.wav,dramabox,default,2,4.2881,0.0000,
linux-default,dramabox_cuda_p3.wav,dramabox,default,3,4.0977,0.1515,
linux-default,dramabox_cuda_p4.wav,dramabox,default,4,4.3603,0.2222,
linux-default,echo_cuda_p1.wav,echo,default,1,4.0375,0.0000,
linux-default,echo_cuda_p2.wav,echo,default,2,4.3128,0.0000,
linux-default,echo_cuda_p3.wav,echo,default,3,4.3427,0.2424,
linux-default,echo_cuda_p4.wav,echo,default,4,4.1547,0.0556,
linux-default,f5tts_cpu_p1.wav,f5tts,default,1,3.7231,0.1429,
linux-default,f5tts_cpu_p2.wav,f5tts,default,2,3.2801,0.0000,
linux-default,f5tts_cpu_p3.wav,f5tts,default,3,4.0488,0.2424,
linux-default,f5tts_cpu_p4.wav,f5tts,default,4,4.2882,0.1667,
linux-default,f5tts_cuda_p1.wav,f5tts,default,1,4.0601,0.0000,
linux-default,f5tts_cuda_p2.wav,f5tts,default,2,4.3214,0.1053,
linux-default,f5tts_cuda_p3.wav,f5tts,default,3,4.0078,0.1515,
linux-default,f5tts_cuda_p4.wav,f5tts,default,4,4.2573,0.1667,
linux-default,fish_15_cpu_p1.wav,fish_15,default,1,3.8616,0.0000,
linux-default,fish_15_cpu_p2.wav,fish_15,default,2,4.0997,0.0000,
linux-default,fish_15_cpu_p3.wav,fish_15,default,3,3.8443,0.2727,
linux-default,fish_15_cpu_p4.wav,fish_15,default,4,3.5378,0.1111,
linux-default,fish_15_cpu_p5.wav,fish_15,default,5,3.1898,0.0000,
linux-default,fish_15_cuda_p1.wav,fish_15,default,1,3.1358,0.0000,
